#
# [ASteCA v0.1.9-beta]
#
# Modified: 2015-08-15 15:03:14
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# e_x: Cluster's x center coordinate error.
# c_y: Cluster's y center coordinate.
# e_y: Cluster's x center coordinate error.
# r_cl: Cluster's radius.
# e_rcl: Cluster's radius error.
# r_c: Core radius (3-P King profile).
# e_rc: Core radius error.
# r_t: Tidal radius (3-P King profile).
# e_rt: Tidal radius error.
# kcp: King's profile concentration parameter.
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#         fitted 3-P King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#       background.
# n_memb_da: Approximate number of cluster's members obtained via the DA
#          algorithm.
# memb_par: Members parameter comparing the approximate structural number of
#           members ('n_memb') with the approximate photometric number of
#           members ('n_memb_da').
# a_f: Fraction of cluster's area that is present in frame.
# prob_cl: Statistical comparision of cluster vs field KDEs. It is obtained
#          as 1 minus the overlap area between the KDEs. If the KDEs are
#          very similar this value will be low indicating the overdensity is
#          probably not a true cluster.
# int_col: Integrated color magnitude for all stars inside the cluster
#          radius, except those that were rejected due to large errors.
# met: Metallicity value (z).
# e_m: Metallicity error.
# age: log(age).
# e_a: log(age) error.
# E(B-V): extinction.
# e_E: Extinction error.
# dist: Distance modulus.
# e_d: Distance error.
# M_i: Total initial mass.
# e_M: Mass error.
# bin_fr: Binary fraction.
# e_bf: Binary fraction error.
#
# M1 Indicates that the center was set manually.
# M2 Indicates that the radius was set manually.
#
# f1 Either median cluster's central coordinates (obtained using several
#    standard deviation smoothing values) is more than 10% away from the
#    central position assigned.
# f2 The standard deviation for either center coordinate is larger than 10%
#    of the coordinate's value.
# f3 The background value is smaller than a third of the maximum radial
#    density value.
# f4 Not enough points found stabilized around the background value -->
#    clust_rad was set to the middle value in the density profile.
# f5 The delta range around the background used to attain the stable
#    condition to determine the radius is greater than 10%%. This indicates
#    a possible variable background.
# f6 The process to fit a 3-P King profile to the density points did not
#    converge or did so to a tidal radius beyond the ranges of the frame.
# f7 No error rejection was possible.
# f8 The function had to fall back to the 'e_max'-based rejection method
#    since the selected one failed.
# f9 The number of approximate structural cluster members ('n_memb') is < 10.
# f10 The number of approximate structural and photometric cluster members
#     differ greatly --> abs(n_memb_par) > 0.33.
#
# FC (flags count): Sum of all the flags values. The bigger this value the
#    more likely it is that there's a problem with the frame, ie: no cluster,
#    more than one cluster present in the frame, variable or too crowded
#    field, etc.
#
#NAME                 c_x      e_x      c_y      e_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f  prob_cl  int_col      met      e_m      age      e_a   E(B-V)      e_E     dist      e_d      M_i      e_M   bin_fr     e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7 f8 f9 f10  FC
KMHK112            5096.0      2.0   3958.0      2.0    170.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.66         -1        162        148      0.05    1.00    -1.00   -99.00   0.0152     -1.0      8.9     -1.0     0.09     -1.0    18.96     -1.0     2210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
BS88               7346.0      2.0    852.0      2.0    120.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.92         -1         39          0      1.00    1.00    -1.00   -99.00 0.003033     -1.0      9.6     -1.0     0.02     -1.0    18.49     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS151               711.0      2.0   8138.0      1.0     60.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.96         -1          5          0      1.00    1.00    -1.00   -99.00 0.003818     -1.0      9.2     -1.0     0.12     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
L113               1078.0      2.0   1005.0      2.0    260.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.07         -1        729        774     -0.03    1.00    -1.00   -99.00 0.002409     -1.0     9.65     -1.0     0.02     -1.0    18.49     -1.0    25810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HW79                941.0      2.0   1150.0      2.0    230.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.37         -1        348        421     -0.09    1.00    -1.00   -99.00 0.000605     -1.0       10     -1.0     0.08     -1.0    18.49     -1.0    25810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HW41               1582.0      2.0   4914.0      2.0    270.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.58         -1        853        770      0.05    1.00    -1.00   -99.00 0.003818     -1.0     9.75     -1.0     0.01     -1.0    18.49     -1.0    12410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
KMHK151            1236.0      2.0   1936.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.63         -1         65         62      0.02    1.00    -1.00   -99.00 0.012074     -1.0     8.85     -1.0     0.12     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC1839            1430.0      0.0   1800.0      0.0    162.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.90         -1        142         33      0.62    1.00    -1.00   -99.00 0.012074     -1.0     6.35     -1.0     0.07     -1.0    18.96     -1.0     4810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-334            3642.0      2.0   8206.0      1.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.88         -1         40          0      1.00    0.71    -1.00   -99.00 0.009591     -1.0      9.3     -1.0     0.04     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
KMHK506            1550.0      0.0    715.0      0.0     70.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.99         -1          1         12     -0.85    1.00    -1.00   -99.00   0.0152     -1.0      6.5     -1.0     0.11     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
KMHK907             486.0      0.0   3558.0      0.0     76.6      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.76         -1         50         68     -0.15    1.00    -1.00   -99.00 0.009591     -1.0     6.85     -1.0     0.13     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
L50                 457.0      2.0    575.0      2.0    170.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.94         -1         38          0      1.00    1.00    -1.00   -99.00 0.002409     -1.0     7.95     -1.0     0.08     -1.0    18.49     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
KMHK123            1660.0      2.0    594.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.62         -1         79        101     -0.12    1.00    -1.00   -99.00 0.012074     -1.0      8.8     -1.0     0.16     -1.0    18.96     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-33             4791.0      0.0   2141.0      0.0     65.7      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.87         -1         16         14      0.07    1.00    -1.00   -99.00   0.0152     -1.0     6.55     -1.0     0.12     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
K38                 860.0      0.0    880.0      0.0    237.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.90         -1        207          5      0.95    1.00    -1.00   -99.00 0.000762     -1.0     9.85     -1.0     0.09     -1.0    18.49     -1.0     8410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS329               169.0      2.0   7487.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.77         -1         85         94     -0.05    1.00    -1.00   -99.00 0.003033     -1.0      9.2     -1.0     0.03     -1.0    18.96     -1.0     2610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
KMHK1719            157.0      2.0    629.0      2.0     70.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.34         -1         38         57     -0.20    1.00    -1.00   -99.00   0.0152     -1.0     9.05     -1.0     0.03     -1.0    18.96     -1.0     1210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HS114              5929.0      2.0   2706.0      2.0    260.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.88         -1        261          1      0.99    1.00    -1.00   -99.00 0.007618     -1.0     9.15     -1.0     0.04     -1.0    18.96     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-269            2760.0      0.0   4314.0      0.0     73.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.86         -1         25        105     -0.62    1.00    -1.00   -99.00 0.000191     -1.0     9.15     -1.0     0.06     -1.0    18.96     -1.0     5210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
LW397               877.0      2.0   4941.0      2.0    160.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.53         -1        174        189     -0.04    1.00    -1.00   -99.00 0.012074     -1.0     8.95     -1.0     0.09     -1.0    18.96     -1.0     2010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
KMHK975            7464.0      2.0    561.0      2.0     90.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.85         -1         23          2      0.84    1.00    -1.00   -99.00 0.012074     -1.0      6.4     -1.0     0.16     -1.0    18.96     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS121              8109.0      2.0   4909.0      2.0     87.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.82         -1         45         46     -0.01    1.00    -1.00   -99.00 0.012074     -1.0      8.9     -1.0     0.12     -1.0    18.96     -1.0     1210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
KMHK95              808.0      2.0   1728.0      2.0     60.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.49         -1         52         64     -0.10    1.00    -1.00   -99.00 0.012074     -1.0     8.45     -1.0     0.03     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HS247              4874.0      0.0   8051.0      0.0     73.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.96         -1          7          1      0.75    1.00    -1.00   -99.00 0.012074     -1.0     8.85     -1.0        0     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
SL229              1227.0      2.0   3084.0      2.0     90.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1         29         34     -0.08    1.00    -1.00   -99.00   0.0152     -1.0     8.55     -1.0     0.05     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
KMHK1045           5858.0      2.0   3657.0      2.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1         20          0      1.00    1.00    -1.00   -99.00 0.012074     -1.0      6.4     -1.0     0.36     -1.0    18.96     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
NGC1793            7068.0      0.0   7815.0      0.0     91.2      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.22         -1          0        108     -1.00    1.00    -1.00   -99.00 0.012074     -1.0     8.05     -1.0     0.08     -1.0    18.96     -1.0     1210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
NGC1838            1340.0      0.0    160.0      0.0     87.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.86         -1         54         37      0.19    1.00    -1.00   -99.00 0.012074     -1.0      8.3     -1.0      0.1     -1.0    18.96     -1.0     1210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
L7                 1139.0      2.0   1342.0      2.0    170.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.30         -1        482        618     -0.12    1.00    -1.00   -99.00 0.007618     -1.0     9.05     -1.0     0.05     -1.0    18.49     -1.0     6210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
LW263              2852.0      2.0   5855.0      2.0    210.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.75         -1        120         40      0.50    1.00    -1.00   -99.00   0.0152     -1.0     9.15     -1.0     0.05     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
NGC1644            4775.0      2.0   6107.0      2.0    250.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.21         -1        742        899     -0.10    1.00    -1.00   -99.00 0.012074     -1.0     8.95     -1.0    0.035     -1.0    18.96     -1.0     8210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HS264              3248.0      2.0    254.0      2.0     90.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.80         -1         63         70     -0.05    1.00    -1.00   -99.00 0.007618     -1.0        9     -1.0     0.02     -1.0    18.96     -1.0     2010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
L19                1336.0      2.0   1268.0      2.0    170.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.62         -1        243        159      0.21    1.00    -1.00   -99.00 0.002409     -1.0     9.45     -1.0     0.02     -1.0    18.49     -1.0     3610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
LW69                197.0      2.0   1865.0      2.0    170.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.70         -1        146        108      0.15    1.00    -1.00   -99.00 0.012074     -1.0      9.1     -1.0      0.1     -1.0    18.96     -1.0     1810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
KMHK1702            171.0      2.0    432.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.47         -1         87        111     -0.12    1.00    -1.00   -99.00 0.006051     -1.0     8.95     -1.0      0.1     -1.0    18.96     -1.0     1210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
L114               1109.0      2.0   1036.0      2.0    150.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.18         -1        138        160     -0.07    1.00    -1.00   -99.00 0.002409     -1.0      7.6     -1.0     0.07     -1.0    18.49     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC1846            8018.0      7.0   2244.0      8.0    400.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.76         -1        757       1186     -0.22    0.98    -1.00   -99.00 0.003033     -1.0      9.2     -1.0     0.03     -1.0    18.96     -1.0    28810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
L35                1040.0      0.0    990.0      0.0    137.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.95         -1         22          0      1.00    1.00    -1.00   -99.00 0.012074     -1.0     6.75     -1.0     0.08     -1.0    18.49     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-67             3938.0      2.0   6123.0      2.0    190.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.86         -1        142          9      0.88    1.00    -1.00   -99.00 0.006051     -1.0        9     -1.0     0.04     -1.0    18.96     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS412              2515.0      2.0   7150.0      2.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.85         -1         38         11      0.55    1.00    -1.00   -99.00 0.006051     -1.0     7.95     -1.0     0.18     -1.0    18.96     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   1   2
KMHK1023           2681.0      4.0   2847.0      4.0    187.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.84         -1        105         12      0.79    1.00    -1.00   -99.00 0.006051     -1.0      9.5     -1.0     0.08     -1.0    18.96     -1.0     3010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L34                1087.0      2.0   1378.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.77         -1        226        113      0.33    1.00    -1.00   -99.00 0.003033     -1.0     8.65     -1.0        0     -1.0    18.49     -1.0     3410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS116              5388.0      2.0   2833.0      2.0     90.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.86         -1         36          0      1.00    1.00    -1.00   -99.00   0.0152     -1.0     8.55     -1.0     0.08     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H86-70             7063.0      2.0    606.0      2.0    180.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.88         -1        139        126      0.05    1.00    -1.00   -99.00 0.002409     -1.0     8.85     -1.0     0.02     -1.0    18.49     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
SL218              1930.0      0.0    660.0      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.01         -1          0        122     -1.00    1.00    -1.00   -99.00   0.0152     -1.0      8.7     -1.0     0.04     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
SL244               123.0      2.0   1033.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1         80         23      0.55    1.00    -1.00   -99.00 0.000241     -1.0      9.3     -1.0      0.1     -1.0    18.96     -1.0    23010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HW63               2600.0      2.0   3801.0      2.0    170.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.80         -1        152         78      0.32    1.00    -1.00   -99.00 0.003033     -1.0      9.5     -1.0     0.04     -1.0    18.49     -1.0     2210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
KMHK979             387.0      0.0   7390.0      0.0     73.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.31         -1          0         93     -1.00    1.00    -1.00   -99.00   0.0152     -1.0     6.55     -1.0     0.11     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
LW469              3109.0      3.0   6223.0      3.0    137.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.24         -1        290        349     -0.09    1.00    -1.00   -99.00   0.0152     -1.0     8.75     -1.0      0.1     -1.0    18.96     -1.0     2410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC1997             818.0      2.0    670.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.34         -1        120        143     -0.09    1.00    -1.00   -99.00 0.000605     -1.0      9.4     -1.0     0.11     -1.0    18.96     -1.0     8210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC1863             783.0      2.0    939.0      2.0    100.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.84         -1         49        138     -0.48    1.00    -1.00   -99.00   0.0152     -1.0     7.75     -1.0     0.13     -1.0    18.96     -1.0     3410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HW22               1092.0      4.0   7072.0      4.0    200.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.82         -1        125          7      0.89    1.00    -1.00   -99.00 0.003033     -1.0     9.85     -1.0     0.02     -1.0    18.49     -1.0     2610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L58                3835.0      2.0   4653.0      2.0    270.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.65         -1        644        631      0.01    1.00    -1.00   -99.00  0.00152     -1.0        9     -1.0     0.08     -1.0    18.49     -1.0     3410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
LW393              4479.0      2.0   4005.0      2.0    140.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.59         -1        114        167     -0.19    1.00    -1.00   -99.00   0.0152     -1.0      8.9     -1.0     0.11     -1.0    18.96     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
L111               1387.0      2.0    564.0      2.0    170.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.06         -1        346        357     -0.02    1.00    -1.00   -99.00 0.002409     -1.0      9.2     -1.0     0.05     -1.0    18.49     -1.0     9410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL444               831.0      2.0    547.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.78         -1        119         67      0.28    1.00    -1.00   -99.00 0.003818     -1.0     8.75     -1.0     0.06     -1.0    18.96     -1.0     1810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
NGC1751            3707.0      2.0   1371.0      2.0    220.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.82         -1        194        351     -0.29    1.00    -1.00   -99.00 0.012074     -1.0      9.1     -1.0     0.04     -1.0    18.96     -1.0     6410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
HS178              1050.0      0.0   1090.0      0.0    162.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.75         -1        156         89      0.27    1.00    -1.00   -99.00   0.0152     -1.0      8.6     -1.0     0.07     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
KMHK1668           2331.0      2.0   6386.0      2.0    130.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.73         -1         50         63     -0.12    1.00    -1.00   -99.00 0.012074     -1.0     9.15     -1.0     0.07     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HS8                5146.0      2.0   4028.0      2.0    140.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.47         -1         56         93     -0.25    1.00    -1.00   -99.00 0.012074     -1.0     9.05     -1.0    0.015     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC1836            1790.0      0.0   1810.0      0.0     60.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.78         -1         52        138     -0.45    1.00    -1.00   -99.00   0.0001     -1.0      9.1     -1.0     0.03     -1.0    18.96     -1.0    13610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
NGC1917            3805.0      0.0   4740.0      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.87         -1         46          5      0.80    1.00    -1.00   -99.00 0.000241     -1.0     9.15     -1.0     0.14     -1.0    18.96     -1.0    17010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L30                1915.0      2.0   1425.0      2.0     70.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.63         -1         77         94     -0.10    1.00    -1.00   -99.00 0.004807     -1.0     6.35     -1.0     0.08     -1.0    18.49     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC294             1088.0      2.0   1099.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.75         -1        235         92      0.44    1.00    -1.00   -99.00  0.00152     -1.0      8.8     -1.0        0     -1.0    18.49     -1.0     2210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL133              1085.0      2.0    981.0      2.0    160.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.43         -1        239        346     -0.18    1.00    -1.00   -99.00 0.001914     -1.0     9.45     -1.0     0.01     -1.0    18.96     -1.0    15810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
KMHK58             6221.0      2.0   7777.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.63         -1         49         49      0.00    1.00    -1.00   -99.00   0.0152     -1.0      8.7     -1.0     0.02     -1.0    18.96     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
LW54                481.0      2.0   7303.0      2.0     70.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.42         -1         61         86     -0.17    1.00    -1.00   -99.00 0.007618     -1.0      8.1     -1.0     0.09     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC1860            1607.0      2.0   1183.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.74         -1        190        169      0.06    1.00    -1.00   -99.00 0.000191     -1.0      8.9     -1.0     0.07     -1.0    18.96     -1.0    22610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
NGC1697            1082.0      2.0    949.0      2.0    200.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.59         -1        492        598     -0.10    1.00    -1.00   -99.00 0.012074     -1.0      8.9     -1.0     0.08     -1.0    18.96     -1.0     8210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL293              4967.0      2.0   6901.0      2.0    140.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.81         -1         58         38      0.21    1.00    -1.00   -99.00   0.0152     -1.0     8.55     -1.0     0.04     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
NGC1865             175.0      2.0   1361.0      2.0    170.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.75         -1        289        101      0.48    1.00    -1.00   -99.00 0.012074     -1.0      8.5     -1.0     0.14     -1.0    18.96     -1.0    14810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL230              1380.0      0.0   3281.0      0.0     91.2      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.07         -1          0        158     -1.00    1.00    -1.00   -99.00   0.0152     -1.0      7.6     -1.0     0.12     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
SL72               1203.0      2.0   1054.0      2.0    112.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.59         -1        107        109     -0.01    1.00    -1.00   -99.00 0.012074     -1.0      8.5     -1.0     0.09     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
L45                1670.0      0.0   1060.0      0.0    162.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.96         -1         23          0      1.00    1.00    -1.00   -99.00   0.0152     -1.0      6.6     -1.0     0.06     -1.0    18.49     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL548               973.0      2.0     33.0      1.0     70.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.42         -1         94        125     -0.14    0.64    -1.00   -99.00   0.0152     -1.0     8.55     -1.0     0.09     -1.0    18.96     -1.0     2810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
KMHK229            6898.0      1.0    958.0      1.0     62.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.83         -1         14         56     -0.60    1.00    -1.00   -99.00 0.012074     -1.0     8.95     -1.0     0.16     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
