#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table2
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age: log(age), MASSCLEAN
# Mass: MASSCLEAN derived mass.
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age    E     e     Mass    E     e    SimbadName            _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]  [yr]   Msun   Msun  Msun                        deg        deg   
HS127              -4.218  0.047   0.059  0.040   0.450  0.058   0.368  0.074  10.00   8.56  0.08  0.10    1300   300   300  [HS66] 127         077.14579  -69.17669
BSDL224            -3.415  0.060   0.135  0.031   0.166  0.064   0.511  0.096  10.00   8.57  0.17  0.05     850   250    50  BSDL224            073.73333  -68.15167
H88-59.H80F1-37    -3.965  0.043  -0.008  0.026   0.258  0.048   0.226  0.084   8.58   8.57  0.07  0.07    1400   300   300  H88 59             074.56667  -68.82167
HS119.H88-137      -4.571  0.032  -0.044  0.020   0.187  0.036   0.140  0.062   8.54   8.57  0.01  0.03    2700   300   200  [HS66] 119         076.74654  -69.31992
KMHK208            -6.178  0.007  -0.015  0.004   0.459  0.008   0.320  0.013   8.98   8.58  0.11  0.45    9000  3000  6200  KMHK208            073.27500  -69.04333
SL154.H88-73       -4.702  0.026  -0.024  0.014   0.196  0.028   0.192  0.051   8.56   8.58  0.02  0.03    3000   200   300  [SL63] 154         074.80833  -67.90833
SL249.KMHK562      -5.967  0.017   0.013  0.009   0.163  0.018   0.200  0.032   8.26   8.58  0.04  0.01    9500   500   500  [SL63] 249         076.89583  -70.74833
SL124e.KMHK324e    -5.550  0.020   0.031  0.012   0.453  0.022   0.356  0.039   8.98   8.59  0.26  0.14    5000  4000  1500  [SL63] 124e        074.12917  -69.98167
HS227              -5.187  0.033  -0.045  0.025   0.408  0.039   0.057  0.061   8.95   8.59  0.25  0.83    4500  3000  4150  [HS66] 227         079.76896  -69.81064
SL607.KMHK1137     -5.662  0.019   0.053  0.015   0.411  0.023   0.353  0.033   8.95   8.59  0.12  0.01    5500  2000   500  [SL63] 607         084.13333  -68.81167
KMHK662            -3.432  0.067   0.120  0.046   0.506  0.076   0.405  0.115   8.99   8.60  0.04  0.11     600   150   200  KMHK662            078.20000  -70.61333
HS48.KMHK177       -3.504  0.053  -0.012  0.026   0.177  0.056   0.070  0.119   8.57   8.61  0.10  0.49    1100   300   900  [HS66] 48          073.03333  -68.45000
SL352.KMHK715      -5.803  0.021   0.017  0.013   0.296  0.023   0.250  0.037   8.66   8.61  0.03  0.03    8000   500   500  [SL63] 352         079.16667  -70.54000
SL276              -6.093  0.020   0.020  0.014   0.240  0.023   0.202  0.036   8.62   8.62  0.05  0.01   11000  1000  1000  [SL63] 276         077.49896  -69.35400
HS227              -5.137  0.043   0.021  0.029   0.254  0.049   0.232  0.070  10.00   8.62  0.06  0.06    4500   500   500  [HS66] 227         079.76896  -69.81064
HS40.KMHK159       -4.146  0.036  -0.012  0.016   0.237  0.037   0.102  0.078   8.57   8.63  0.11  0.18    2000   500   700  [HS66] 40          072.80000  -69.97167
HS76.KMHK370       -4.331  0.032   0.010  0.020   0.272  0.036   0.196  0.058   8.61   8.63  0.04  0.02    2200   300   200  [HS66] 76          074.54167  -69.06167
HS335              -4.150  0.040   0.071  0.029   0.319  0.046   0.356  0.068  10.00   8.64  0.09  0.07    1600   600   300  [HS66] 335         082.73750  -69.34333
BSDL194            -3.319  0.083   0.071  0.037  -0.018  0.086   0.264  0.159  10.00   8.64  0.01  0.26     950    50   250  BSDL194            073.52083  -69.75833
KMK88-28.H88-164   -4.664  0.037   0.012  0.026   0.260  0.043   0.408  0.058   8.62   8.64  0.02  0.09    3000   200   500  KMK88 28           077.30567  -69.11444
SL296              -5.914  0.017  -0.002  0.011   0.358  0.019   0.193  0.034   8.90   8.65  0.18  0.34    9500  4500  5000  [SL63] 296         077.73258  -69.55931
BSDL463            -3.856  0.055   0.107  0.030   0.265  0.059   0.319  0.090   8.77   8.66  0.14  0.09    1300   500   100  BSDL463            075.57883  -69.53494
H88-302            -4.002  0.033   0.110  0.020   0.392  0.036   0.352  0.063   8.88   8.67  0.22  0.05    1400  1100   200  H88 302            084.75417  -69.36833
SL588.KMHK1101     -5.476  0.026   0.119  0.010   0.169  0.026   0.263  0.050   8.54   8.67  0.16  0.15    7000  2500  2500  [SL63] 588         083.66250  -68.30500
SL266.KMHK592      -4.569  0.042   0.066  0.025   0.252  0.046   0.310  0.072   8.72   8.67  0.06  0.03    3000   200   300  [SL63] 266         077.27500  -69.71667
LW49.KMHK67        -2.624  0.144   0.069  0.084   0.203  0.149  -0.133  0.426  10.00   8.68  0.10  0.13     550   150   150  LW49               071.28542  -69.80250
SL296              -5.817  0.019   0.017  0.011   0.298  0.021   0.179  0.034   8.68   8.68  0.12  0.20    9500  2500  3500  [SL63] 296         077.73258  -69.55931
H2.SL363           -7.056  0.018   0.000  0.017   0.509  0.024   0.329  0.028   9.00   8.69  0.30  0.13   25000 25000  6000  [H60b] 2           079.45271  -69.64458
H88-80.H80F1-46    -2.837  0.099   0.240  0.052   0.151  0.105  -0.045  0.238  10.00   8.69  0.09  0.01     600   200    50  H88 80             074.94167  -68.72167
SL266.KMHK592      -4.876  0.039   0.136  0.021   0.251  0.042   0.342  0.067   8.77   8.70  0.10  0.10    4000   500   500  [SL63] 266         077.27500  -69.71667
LW49.KMHK67        -2.469  0.119   0.218  0.052   0.252  0.119   0.589  0.207  10.00   8.70  0.04  0.15     300   100   100  LW49               071.28542  -69.80250
SL434              -5.066  0.027   0.021  0.015   0.290  0.029   0.151  0.052   8.66   8.70  0.17  0.23    5000  2000  2000  [SL63] 434         080.85000  -69.02167
KMK88-7.H88-108    -5.165  0.021   0.054  0.013   0.236  0.023   0.190  0.039   8.70   8.70  0.04  0.01    5500   500   500  KMK88 7            076.12737  -69.35508
KMHK643            -3.269  0.086   0.142  0.071   0.442  0.104   0.369  0.153  10.00   8.71  0.16  0.18     700   600   350  KMHK643            077.89583  -70.04333
HS141              -4.965  0.042   0.098  0.037   0.473  0.053   0.452  0.059  10.00   8.72  0.29  0.17    3700  3800  1200  [HS66] 141         077.45512  -69.08444
SL180              -5.535  0.032   0.128  0.020   0.333  0.036   0.457  0.054   8.86   8.72  0.05  0.08    7000  1000  1000  [SL63] 180         075.40396  -69.03822
SL588.KMHK1101     -5.436  0.026   0.095  0.011   0.303  0.027   0.285  0.051   8.78   8.73  0.05  0.01    7000  1000   500  [SL63] 588         083.66250  -68.30500
H88-52.KMHK365     -4.432  0.047   0.220  0.028   0.357  0.052   0.483  0.080   8.95   8.73  0.12  0.01    2500   700   800  H88 52             074.54167  -68.06000
KMHK203            -4.060  0.032   0.039  0.019   0.329  0.035  -0.022  0.079   8.84   8.73  0.09  0.17    2200   700   700  KMHK203            073.22500  -69.77833
HS338.KMHK1015     -4.338  0.032   0.109  0.017   0.308  0.034   0.358  0.063   8.80   8.73  0.01  0.01    2500   200   300  [HS66] 338         082.93333  -67.18500
KMHK941            -3.929  0.039   0.069  0.021   0.316  0.042   0.442  0.066   8.76   8.73  0.01  0.15    1700   200   600  KMHK941            082.07500  -68.68167
KMHK203            -4.076  0.036   0.040  0.020   0.279  0.039   0.111  0.085   8.66   8.73  0.01  0.01    2200   300   200  KMHK203            073.22500  -69.77833
KMHK150            -3.305  0.067   0.208  0.026   0.137  0.068   0.060  0.155  10.00   8.74  0.03  0.02    1100   200   100  KMHK150            072.78333  -68.24500
H88-96             -4.324  0.036   0.093  0.023   0.333  0.041   0.260  0.066   8.83   8.74  0.16  0.06    2500  1200   300  H88 96             075.34912  -68.87292
NGC1861.SL286      -6.158  0.018   0.037  0.010   0.409  0.020   0.224  0.035   8.95   8.75  0.15  0.21   14000  6000  6000  NGC1861            077.58750  -70.77667
SL132.KMHK348      -4.314  0.027   0.172  0.017   0.512  0.030   0.478  0.046   9.00   8.76  0.10  0.06    2000   700   200  [SL63] 132         074.35833  -67.68500
SL368              -5.495  0.023   0.100  0.019   0.432  0.028   0.418  0.036   8.96   8.76  0.08  0.17    7000  1500  2500  [SL63] 368         079.52083  -69.95333
SL266.KMHK592      -4.602  0.039   0.105  0.026   0.324  0.045   0.258  0.066  10.00   8.77  0.10  0.04    3500  1000   500  [SL63] 266         077.27500  -69.71667
SL139.KMHK358      -4.095  0.037   0.163  0.024   0.378  0.042   0.342  0.065   8.93   8.78  0.04  0.69    2000   200  1800  [SL63] 139         074.48333  -68.20000
H88-281            -5.788  0.016   0.041  0.011   0.386  0.018   0.214  0.028  10.00   8.79  0.13  0.26   11000  3000  5000  H88 281            080.08750  -69.24667
SL390              -5.954  0.030  -0.026  0.021   0.342  0.035   0.261  0.053   8.92   8.79  0.13  0.26   11000  3000  5000  [SL63] 390         079.97654  -68.96464
H88-67             -3.561  0.048   0.313  0.031   0.451  0.054   0.396  0.091   8.97   8.79  0.08  0.02    1000   300    50  H88 67             074.72500  -67.84667
BRHT61a            -5.979  0.011   0.108  0.007   0.365  0.012   0.216  0.019   7.18   8.79  0.01  0.01   13000  1000  1000  BRHT 61a           074.82917  -68.84333
BSDL189            -3.249  0.061   0.171  0.035   0.420  0.066   0.344  0.118   8.98   8.80  0.11  0.15     850   450   300  BSDL189            073.55833  -68.30667
H88-107            -3.936  0.060   0.154  0.041   0.373  0.069   0.338  0.096   8.91   8.80  0.12  0.14    1800   700   600  H88 107            076.10392  -69.34992
SL282.KMHK619      -4.627  0.033   0.113  0.018   0.430  0.036   0.337  0.065   8.96   8.81  0.19  0.15    3500  2000  1000  [SL63] 282         077.54167  -70.37667
KMHK423            -4.119  0.035   0.292  0.025   0.474  0.040   0.422  0.059   8.99   8.81  0.64  0.03    1800   400   500  KMHK423            075.12067  -68.64097
SL197.KMHK482      -4.947  0.020   0.163  0.012   0.451  0.022   0.389  0.038   8.98   8.81  0.05  0.01    4500   500   500  [SL63] 197         075.89037  -67.62608
HS76.KMHK370       -4.329  0.035   0.061  0.023   0.319  0.040   0.155  0.070  10.00   8.81  0.04  0.02    3200   300   200  [HS66] 76          074.54167  -69.06167
H88-58.H80F1-36    -3.743  0.041   0.390  0.033   0.480  0.049   0.497  0.073   8.99   8.82  0.03  0.04    1200   100   200  H88 58             074.54583  -68.58167
SL139.KMHK358      -4.709  0.028   0.111  0.015   0.347  0.030   0.144  0.058   8.84   8.82  0.01  0.01    4500   500   500  [SL63] 139         074.48333  -68.20000
H88-21.H80F1-18    -3.254  0.069   0.212  0.045   0.320  0.077   0.332  0.138   8.92   8.82  0.03  0.18    1000   100   400  H88 21             073.63750  -68.99500
BSDL634            -4.156  0.053   0.103  0.035   0.351  0.060   0.114  0.108   8.83   8.82  0.10  0.01    2700   500   200  BSDL634            076.60058  -69.56836
NGC1861.SL286      -5.778  0.020   0.144  0.014   0.392  0.023   0.240  0.037   8.94   8.82  0.07  0.01   11000  2000  1000  NGC1861            077.58750  -70.77667
SL119.KMHK316      -6.163  0.011   0.198  0.008   0.511  0.013   0.447  0.020   9.00   8.83  0.03  0.05   13000  1000  1000  [SL63] 119         074.15000  -68.16500
SL268              -7.005  0.014   0.181  0.012   0.531  0.018   0.358  0.023   9.00   8.83  0.15  0.01   29000 16000  1000  [SL63] 268         077.31146  -69.58817
SL250              -5.826  0.017   0.168  0.012   0.400  0.020   0.208  0.031   8.94   8.83  0.10  0.17   12000  3000  4000  [SL63] 250         076.96262  -69.43639
H88-296            -3.794  0.052   0.274  0.035   0.432  0.059   0.310  0.101   8.96   8.84  0.05  0.04    1600   200   300  H88 296            080.77917  -69.01167
KMHK704            -4.383  0.031   0.210  0.016   0.405  0.033   0.289  0.054   8.99   8.84  0.01  0.03    3000   200   300  KMHK704            078.89167  -70.75167
H88-68.H80F1-44    -3.938  0.039   0.195  0.023   0.375  0.043   0.154  0.080   8.93   8.85  0.03  0.02    2200   300   200  H88 68             074.75417  -69.04167
HS102              -4.776  0.040   0.156  0.030   0.367  0.047   0.161  0.074   8.91   8.85  0.01  0.01    5000   500   500  [HS66] 102         075.91096  -69.38622
H88-68.H80F1-44    -4.209  0.033   0.217  0.022   0.365  0.037   0.255  0.067   8.94   8.85  0.01  0.03    2700   300   200  H88 68             074.75417  -69.04167
KMHK643            -3.373  0.073   0.169  0.051   0.387  0.084   0.221  0.147   8.91   8.86  0.03  0.16    1300   100   500  KMHK643            077.89583  -70.04333
KMHK1045           -3.070  0.067   0.323  0.042   0.488  0.073   0.299  0.130   8.99   8.86  0.03  0.06     750   200   100  KMHK1045           083.09583  -67.99667
SL124e.KMHK324e    -5.447  0.021   0.139  0.013   0.385  0.023   0.276  0.040   8.98   8.86  0.03  0.07    9000   500  1500  [SL63] 124e        074.12917  -69.98167
SL71.KMHK194       -4.597  0.025   0.166  0.013   0.358  0.027   0.161  0.054  10.00   8.87  0.12  0.23    4500  1500  2000  [SL63] 71          073.22917  -67.45000
KMK88-11.H88-117   -5.747  0.038   0.198  0.032   0.446  0.047   0.212  0.067   8.97   8.87  0.14  0.14   12000  4000  3500  KMK88 11           076.26246  -68.91039
HS138.BRHT46a      -4.152  0.042   0.120  0.028   0.372  0.047   0.167  0.081   8.88   8.87  0.08  0.05    3000   500   500  [HS66] 138         077.44167  -68.58500
KMHK381e           -3.583  0.056   0.110  0.035   0.406  0.062   0.059  0.116   8.88   8.88  0.04  0.07    1800   200   200  NAME KMHK381e      074.70417  -68.63639
H88-67             -3.634  0.045   0.280  0.027   0.533  0.049   0.284  0.091  10.00   8.88  0.06  0.08    1400   200   200  H88 67             074.72500  -67.84667
SL124e.KMHK324e    -5.458  0.019   0.052  0.011   0.396  0.021   0.211  0.038  10.00   8.88  0.12  0.30   10000  2000  5000  [SL63] 124e        074.12917  -69.98167
SL96.H88-25        -4.413  0.052   0.313  0.031   0.422  0.057   0.179  0.106   8.95   8.88  0.01  0.04    3500   200   500  [SL63] 96          073.75417  -67.71500
H88-40.KMHK310     -4.330  0.032   0.213  0.018   0.416  0.035   0.086  0.062   8.96   8.88  0.01  0.01    3500   200   300  H88 40             074.12083  -67.62333
H88-146            -3.891  0.055   0.108  0.034   0.358  0.061   0.153  0.106   8.84   8.88  0.09  0.18    2500   500  1000  H88 146            076.88750  -69.49833
SL119.KMHK316      -6.151  0.014   0.166  0.010   0.526  0.016   0.424  0.024   8.91   8.89  0.06  0.18   15000  4000  5500  [SL63] 119         074.15000  -68.16500
HS184.KMHK681      -4.411  0.029   0.226  0.019   0.617  0.032   0.509  0.047   9.30   8.89  0.12  0.10    2700   800   700  [HS66] 184         078.54167  -70.68500
H88-66             -3.408  0.054   0.171  0.037   0.428  0.062   0.055  0.122   8.96   8.90  0.04  0.08    1600   200   300  H88 66             074.70833  -67.82667
BSDL317            -3.313  0.075   0.493  0.108   0.992  0.098   0.819  0.104  10.00   8.90  0.09  0.11     450   200   100  BSDL317            074.27083  -70.13833
KMHK87             -3.689  0.058   0.297  0.033   0.575  0.062   0.076  0.132  10.00   8.91  0.07  0.02    1800   200   300  KMHK87             071.69167  -69.74333
SL136.KMHK352      -5.706  0.026   0.097  0.016   0.462  0.029   0.414  0.043   8.98   8.91  0.07  0.31   12000  2000  7000  [SL63] 136         074.37500  -69.05167
KMHK1023           -3.263  0.067   0.461  0.054   0.704  0.075   0.393  0.130   9.48   8.91  0.24  0.21     700   600   300  KMHK1023           082.94167  -68.23500
SL162.H88-79       -4.767  0.024   0.184  0.016   0.493  0.027   0.275  0.046   9.00   8.95  0.02  0.04    5500   500  1000  [SL63] 162         074.97083  -67.92333
HS112              -5.386  0.021   0.205  0.019   0.528  0.027   0.384  0.034   9.00   8.95  0.01  0.07    9000   500  1500  [HS66] 112         076.38750  -69.11667
HS85.KMHK428       -4.704  0.025   0.180  0.019   0.522  0.030   0.326  0.051   9.00   8.96  0.05  0.09    5000   500  1000  [HS66] 85          075.21250  -67.80333
HS115.KMHK537      -4.977  0.035   0.048  0.020   0.435  0.038   0.240  0.068   8.96   8.97  0.09  0.41    7500  2000  4500  [HS66] 115         076.47083  -70.37167
HS35.KMHK124       -4.990  0.015   0.109  0.008   0.487  0.016   0.427  0.026   9.00   8.97  0.03  0.09    7000   500  1500  [HS66] 35          072.38750  -69.72833
HS65.H88-31        -5.025  0.020   0.216  0.014   0.564  0.023   0.388  0.034   9.00   8.97  0.13  0.05    6500  2000   500  [HS66] 65          073.87500  -68.88333
HS111              -4.391  0.031   0.195  0.022   0.569  0.036   0.402  0.052   9.30   8.99  0.10  0.17    3700   800  1200  [HS66] 111         076.43517  -68.50683
HS359              -5.978  0.021   0.103  0.014   0.540  0.024   0.424  0.032   9.00   9.02  0.03  0.05   19000  1000  2000  [HS66] 359         083.68333  -69.39000
SL151.KMHK388      -5.693  0.025   0.127  0.015   0.589  0.028   0.499  0.043   9.30   9.03  0.04  0.03   14000  1000  2000  [SL63] 151         074.71250  -69.95833
NGC1806.SL184      -7.826  0.008   0.158  0.007   0.586  0.010   0.446  0.013   9.00   9.03  0.03  0.01  100000     0  5000  NGC1806            075.54583  -67.98833
BSDL525            -4.179  0.046   0.170  0.039   0.650  0.057   0.512  0.070   9.48   9.03  0.30  0.30    3200  4300  1800  BSDL525            076.09167  -69.46500
SL294.KMHK627      -5.863  0.034   0.167  0.032   0.538  0.044   0.379  0.057   9.00   9.03  0.03  0.29   17000  1000  9500  [SL63] 294         077.66667  -70.06333
SL268              -7.032  0.013   0.181  0.010   0.596  0.016   0.358  0.021   9.00   9.04  0.04  0.10   50000  7000 10000  [SL63] 268         077.31146  -69.58817
SL174.KMHK439      -5.834  0.019   0.132  0.015   0.570  0.023   0.288  0.036   9.00   9.04  0.01  0.05   17000  1000  1000  [SL63] 174         075.29583  -67.81833
HS87               -4.558  0.031   0.138  0.022   0.598  0.036   0.488  0.049   9.30   9.04  0.20  0.12    5000  4000  1300  [HS66] 87          075.17137  -69.34136
HS94.KMHK468       -4.386  0.035   0.039  0.024   0.554  0.040   0.198  0.070   9.00   9.05  0.19  0.19    5000  3500  2000  [HS66] 94          075.61667  -70.29167
SL174.KMHK439      -6.034  0.020   0.074  0.015   0.650  0.024   0.290  0.036  10.00   9.05  0.17  0.07   21000 12000  4000  [SL63] 174         075.29583  -67.81833
NGC1751.SL89       -7.459  0.011   0.123  0.008   0.584  0.013   0.478  0.019   9.48   9.05  0.02  0.01   75000  2000  3000  NGC1751            073.55000  -69.80667
HS141              -5.049  0.036   0.038  0.036   0.599  0.048   0.439  0.057   9.30   9.07  0.10  0.07    9000  2000  2000  [HS66] 141         077.45512  -69.08444
BSDL2794           -5.552  0.010   0.090  0.006   0.578  0.011   0.367  0.019   9.30   9.07  0.41  0.06   14000 10000  2000  BSDL2794           085.29167  -69.17833
NGC1751.SL89       -7.115  0.014   0.123  0.012   0.617  0.018   0.453  0.024  10.00   9.07  0.01  0.01   55000  2000  3000  NGC1751            073.55000  -69.80667
BM10               -3.618  0.050   0.053  0.026   0.489  0.053   0.333  0.092   9.00   9.08  0.20  0.13    2700  2300   900  BMG 10             085.77083  -68.72500
SL569.KMHK1065     -5.834  0.020   0.174  0.012   0.592  0.022   0.353  0.036   8.85   9.08  0.01  0.01   18000  1000  1000  [SL63] 569         083.33333  -68.15167
HS85.KMHK428       -4.725  0.028   0.124  0.021   0.525  0.033   0.328  0.052   9.00   9.08  0.01  0.03    7000   500   500  [HS66] 85          075.21250  -67.80333
HS92.KMHK467       -3.612  0.046   0.257  0.040   0.656  0.057   0.386  0.089   9.48   9.09  0.06  0.22    2000   500   900  [HS66] 92          075.57500  -68.54500
HS259              -7.191  0.006   0.245  0.006   0.714  0.008   0.388  0.010  10.00   9.10  0.01  0.01   52000  3000  2000  [HS66] 259         080.68750  -69.84500
KMHK355            -3.712  0.048   0.229  0.039   0.688  0.058   0.435  0.085  10.00   9.11  0.18  0.18    2200  1500   700  KMHK355            074.33750  -70.48333
SL151.KMHK388      -5.477  0.024   0.214  0.019   0.664  0.029   0.455  0.040   9.48   9.11  0.34  0.05   12000 11000  2000  [SL63] 151         074.71250  -69.95833
KMHK898            -5.592  0.009   0.545  0.007   0.904  0.011   0.556  0.016  10.00   9.12  0.01  0.04    6000  1000  2000  KMHK898            081.59583  -68.04667
BSDL946            -5.673  0.011   0.197  0.007   0.669  0.012   0.384  0.019   9.48   9.13  0.05  0.07   15000  5000  2000  BSDL946            078.48750  -68.71333
SL150.KMHK386      -4.942  0.020   0.289  0.017   0.639  0.025   0.411  0.033  10.00   9.14  0.30  0.05    7500   500   500  [SL63] 150         074.74583  -69.21667
KMHK750            -3.641  0.051   0.206  0.045   0.806  0.062  -0.068  0.127  10.00   9.14  0.35  0.04    2700  4800   200  KMHK750            079.57500  -70.72333
OGLE-LMC0169       -6.305  0.008   0.503  0.008   0.863  0.011   0.520  0.013  10.00   9.15  0.08  0.05   18000 10000  4000  OGLE-CL LMC 0169   077.52942  -69.08756
KMK88-38.H88-206   -4.397  0.033   0.330  0.035   0.783  0.045   0.374  0.057   9.81   9.15  0.26  0.01    4000  6000   500  KMK88 38           078.03942  -68.91231
H88-192            -3.452  0.086   0.627  0.093   0.708  0.108   0.245  0.153  10.00   9.15  0.01  0.12    1500   100   300  H88 192            077.75646  -69.52456
BSDL203            -3.749  0.043   0.436  0.042   0.959  0.055   0.934  0.060  10.00   9.16  0.10  0.28    1600  1100   850  BSDL203            073.55000  -69.67167
H88-135            -4.075  0.044   0.252  0.047   0.777  0.060   0.606  0.066   9.48   9.16  0.18  0.21    3200  2800  1300  H88 135            076.66250  -69.36833
KMHK1167           -3.206  0.061   0.022  0.037   0.504  0.067   0.330  0.119   9.00   9.20  0.14  0.19    2700  1300  1200  KMHK1167           084.59167  -68.40667
BSDL1102           -4.116  0.041   0.628  0.061   1.173  0.064   0.624  0.061  10.00   9.21  0.10  0.11    1400   800   500  BSDL1102           079.15000  -70.21000
H88-167            -2.908  0.111  -0.023  0.082   0.525  0.129   0.322  0.216   8.97   9.22  0.11  0.20    2200   800  1100  H88 167            077.33750  -69.38167
SL66.KMHK180       -5.496  0.022   0.099  0.015   0.646  0.025   0.399  0.038   9.48   9.23  0.27  0.03   20000  6000  1000  [SL63] 66          072.97917  -70.39000
OGLE-LMC0114       -3.877  0.054   0.892  0.124   1.204  0.091   0.749  0.075  10.00   9.23  0.20  0.03     650   750   300  OGLE-CL LMC 0114   076.73217  -69.43006
BSDL2652           -3.935  0.031   0.047  0.019   0.701  0.034   0.564  0.055   9.48   9.24  0.15  0.07    5000  2500  1500  BSDL2652           084.62917  -68.14000
HS174              -5.398  0.022   0.070  0.019   0.698  0.028   0.340  0.038   9.48   9.27  0.13  0.19   21000  7000 10000  [HS66] 174         078.12917  -69.75500
SL629.KMHK1169     -4.454  0.025   0.088  0.015   0.649  0.028   0.416  0.045   9.48   9.31  0.01  0.03   10000  1000   500  [SL63] 629         084.58750  -68.78167
HS88.KMHK436       -4.661  0.032   0.125  0.034   0.743  0.044   0.297  0.058   9.48   9.35  0.03  0.03   13000  1000  1000  [HS66] 88          075.26250  -68.08167
HS92.KMHK467       -4.142  0.062   0.149  0.057   0.777  0.077   0.503  0.102   9.48   9.36  0.06  0.11    7500  1500  1500  [HS66] 92          075.57500  -68.54500
KMHK1112           -3.766  0.042   0.140  0.031   0.705  0.049   0.546  0.070   9.48   9.38  0.04  0.18    6000   500  2500  KMHK1112           083.81250  -68.87000
SL151.KMHK388      -5.516  0.020   0.321  0.017   0.672  0.025   0.417  0.035   9.48   9.43  0.01  0.01   16000  5000  5000  [SL63] 151         074.71250  -69.95833
SL244              -6.123  0.024   0.337  0.021   0.603  0.030   0.481  0.038   9.48   9.43  0.01  0.01   35000  5000  3000  [SL63] 244         076.90417  -68.54167
KMHK355            -3.900  0.044   0.627  0.032   0.690  0.048   0.554  0.073   9.48   9.44  0.01  0.34    1700   300   100  KMHK355            074.33750  -70.48333
HS190              -5.444  0.034   0.326  0.036   0.729  0.046   0.555  0.050   9.48   9.44  0.06  0.64   19000  1000 15000  [HS66] 190         078.70329  -69.45678
HS88.KMHK436       -4.439  0.033   0.440  0.029   0.582  0.041   0.478  0.052  10.00   9.44  0.04  0.50    1700  2800  1300  [HS66] 88          075.26250  -68.08167
SL150.KMHK386      -5.029  0.022   0.302  0.013   0.496  0.024   0.365  0.036   9.00   9.44  0.01  0.01    6500  3500  5750  [SL63] 150         074.74583  -69.21667
HS228              -4.398  0.041   0.503  0.040   0.725  0.053   0.296  0.069   9.48   9.44  0.01  0.01    1600  2100  1300  [HS66] 228         079.85000  -68.88167
KMHK327            -3.873  0.049   0.579  0.032   0.413  0.053   0.496  0.084  10.00   9.45  0.01  0.01    1000   300   100  KMHK327            074.14583  -70.42500
SL282.KMHK619      -4.414  0.040   0.339  0.025   0.330  0.044   0.505  0.066  10.00   9.45  0.00  0.02    1700  1300  1300  [SL63] 282         077.54167  -70.37667
NGC1917.SL379      -6.914  0.016   0.116  0.016   0.620  0.022   0.358  0.025   9.48   9.46  0.01  0.15  100000     0 10000  NGC1917            079.75875  -69.00106
SL349.BRHT33       -5.382  0.025  -0.010  0.015   0.420  0.028   0.303  0.042   8.96   9.46  0.03  0.01   15000  3000  1000  [SL63] 349         079.22671  -68.87661
BSDL2300           -5.863  0.009  -0.057  0.005   0.553  0.010   0.299  0.016   9.00   9.47  0.03  0.02   35000 15000 13000  BSDL2300           083.32917  -68.89167
SL136.KMHK352      -5.888  0.029   0.015  0.021   0.525  0.034   0.357  0.052  10.00   9.47  0.03  0.01   35000  2000  3000  [SL63] 136         074.37500  -69.05167
BSDL734            -4.096  0.054   0.309  0.048   0.713  0.068   0.563  0.087   9.48   9.48  0.02  0.44    3500  6500  1000  BSDL734            077.30396  -69.28333
BSDL1334           -3.722  0.046   0.653  0.040   0.917  0.054   0.823  0.066  10.00   9.48  0.02  0.80    1700   800  1250  BSDL1334           080.30833  -68.78333
H88-243            -4.180  0.046   0.253  0.069   0.994  0.077   0.534  0.072  10.00   9.48  0.02  0.33    8000  3000  5300  H88 243            079.05133  -69.28453
OGLE-LMC0531       -4.244  0.041   0.113  0.039   0.777  0.053   0.408  0.069   9.70   9.48  0.02  0.10   12000  1000  3000  OGLE-CL LMC 0531   082.50304  -69.52697
H88-93             -3.717  0.043   0.473  0.026   0.496  0.047   0.575  0.072  10.00   9.48  0.02  0.71    1200   600   550  H88 93             075.35833  -67.63333
KMHK1188           -4.085  0.053   0.366  0.035   0.626  0.058   0.457  0.093   9.48   9.48  0.01  0.03    3500   500  2100  KMHK1188           084.87500  -68.32167
